# From connectivity_calculator_weffect.pl on Wed Sep 28 12:57:55 2016
# Input =  ~/datasets/connectivity_with_effect/
# [1] > GENSOR Unit
# [2] > Total activated reactions
# [3] > Total components activated
# [4] > Total activated enzymes
# [5] > Total activated enzymes with connectivity
# [6] > Corrected connectivity for activation
# [7] > Total repressed reactions
# [8] > Total components repressed
# [9] > Total repressed enzymes
# [10] > Total repressed enzymes with connectivity
# [11] > Corrected connectivity for repression
CueR	4	2	2	2	0.67	2	1	2	2	1.00
CusR	4	4	3	0	0.00	0	0	0	0	0.00
CynR	3	1	3	2	0.67	0	0	0	0	0.00
CysB	27	8	14	10	0.48	6	2	3	2	0.50
CytR	0	0	0	0	0.00	39	6	12	0	0.00
Dan	2	1	2	2	1.00	0	0	0	0	0.00
DcuR	14	3	4	4	0.67	0	0	0	0	0.00
DeoR	0	0	0	0	0.00	26	8	8	0	0.00
DhaR	1	1	1	0	0.00	0	0	0	0	0.00
DicA	0	0	0	0	0.00	0	0	0	0	0.00
DinJ-YafQ	0	0	0	0	0.00	1	1	1	0	0.00
DnaA	9	4	3	2	0.33	12	3	5	2	0.29
DpiA	6	4	5	3	0.38	0	0	0	0	0.00
DsdC	2	1	2	2	1.00	0	0	0	0	0.00
EbgR	0	0	0	0	0.00	0	0	0	0	0.00
EnvR	0	0	0	0	0.00	3	2	2	0	0.00
EnvY	31	16	2	0	0.00	0	0	0	0	0.00
EvgA	6	2	6	3	0.43	0	0	0	0	0.00
ExuR	0	0	0	0	0.00	8	3	6	0	0.00
FabR	0	0	0	0	0.00	23	5	2	0	0.00
FadR	61	4	10	10	0.77	22	3	9	7	0.64
FeaR	5	1	2	2	1.00	0	0	0	0	0.00
FhlA	10	3	7	3	0.33	0	0	0	0	0.00
FlhDC	15	9	9	4	0.24	3	3	2	0	0.00
FliZ	0	0	0	0	0.00	5	4	5	2	0.25
FucR	10	2	6	3	0.43	0	0	0	0	0.00
Fur	61	24	24	15	0.32	120	30	59	38	0.43
GadE	22	15	10	5	0.21	0	0	0	0	0.00
GadE-RcsB	5	2	4	2	0.40	0	0	0	0	0.00
GadW	4	2	4	3	0.60	3	1	3	3	1.00
GadX	13	3	10	8	0.67	3	3	2	0	0.00
GalR	4	1	4	3	0.75	8	4	6	4	0.44
GalS	4	1	4	3	0.75	8	4	6	4	0.44
GatR	0	0	0	0	0.00	4	2	3	0	0.00
GcvA	6	1	3	3	1.00	6	1	3	3	1.00
GlcC	4	2	3	3	0.75	0	0	0	0	0.00
GlpR	0	0	0	0	0.00	12	6	7	0	0.00
GlrR	0	0	0	0	0.00	0	0	0	0	0.00
GntR	0	0	0	0	0.00	13	1	9	0	0.00
GutM	4	2	3	2	0.50	0	0	0	0	0.00
GutR	0	0	0	0	0.00	4	2	3	0	0.00
HcaR	4	1	2	2	1.00	0	0	0	0	0.00
HdfR	0	0	0	0	0.00	0	0	0	0	0.00
HipAB	0	0	0	0	0.00	3	3	2	0	0.00
HipB	0	0	0	0	0.00	4	4	3	0	0.00
HU	0	0	0	0	0.00	10	5	7	3	0.27
HyfR	1	1	1	0	0.00	0	0	0	0	0.00
HypT	10	8	5	2	0.17	2	1	2	0	0.00
IclR	0	0	0	0	0.00	4	2	3	0	0.00
IdnR	6	1	4	4	1.00	2	1	2	2	1.00
IlvY	3	3	1	0	0.00	0	0	0	0	0.00
IscR	10	3	2	1	0.25	10	4	5	2	0.25
KdgR	0	0	0	0	0.00	4	1	2	0	0.00
KdpE	1	1	1	0	0.00	0	0	0	0	0.00
LacI	0	0	0	0	0.00	5	3	3	0	0.00
LeuO	12	4	6	5	0.56	0	0	0	0	0.00
LexA	0	0	0	0	0.00	22	10	21	0	0.00
LldR	3	2	2	2	0.67	3	2	2	2	0.67
LrhA	0	0	0	0	0.00	0	0	0	0	0.00
Lrp	28	5	18	14	0.64	63	31	24	15	0.28
LsrR	0	0	0	0	0.00	6	3	5	0	0.00
LysR	1	1	1	0	0.00	0	0	0	0	0.00
MalI	0	0	0	0	0.00	4	3	2	0	0.00
MalT	21	2	6	6	0.86	0	0	0	0	0.00
MarA	27	16	22	3	0.08	1	1	1	0	0.00
MarR	0	0	0	0	0.00	0	0	0	0	0.00
MatA	0	0	0	0	0.00	2	2	1	0	0.00
MazE	0	0	0	0	0.00	11	1	1	0	0.00
MazE-MazF	0	0	0	0	0.00	11	1	1	0	0.00
McbR	0	0	0	0	0.00	0	0	0	0	0.00
MelR	6	2	2	2	0.67	6	2	2	2	0.67
MetJ	0	0	0	0	0.00	16	8	10	0	0.00
MetR	10	5	4	3	0.38	5	3	1	1	0.33
MhpR	9	2	6	6	0.86	0	0	0	0	0.00
Mlc	0	0	0	0	0.00	11	1	4	0	0.00
MlrA	1	1	1	0	0.00	0	0	0	0	0.00
MngR	0	0	0	0	0.00	2	1	2	0	0.00
MntR	1	1	1	0	0.00	2	2	1	0	0.00
ModE	7	5	6	2	0.20	16	5	8	4	0.33
MprA	0	0	0	0	0.00	4	2	3	0	0.00
MqsA	0	0	0	0	0.00	1	1	1	0	0.00
MtlR	0	0	0	0	0.00	5	1	3	0	0.00
MurR	0	0	0	0	0.00	4	3	4	0	0.00
Nac	17	11	7	6	0.35	7	3	3	2	0.40
NadR	0	0	0	0	0.00	5	2	4	0	0.00
NagC	4	3	3	2	0.40	38	7	19	11	0.44
NanR	0	0	0	0	0.00	9	1	6	2	0.33
NarP	16	4	10	6	0.46	4	1	3	0	0.00
NemR	0	0	0	0	0.00	2	2	2	0	0.00
NhaR	6	3	5	2	0.29	0	0	0	0	0.00
NikR	0	0	0	0	0.00	1	1	1	0	0.00
NorR	1	1	1	0	0.00	0	0	0	0	0.00
NrdR	0	0	0	0	0.00	16	3	4	0	0.00
NsrR	0	0	0	0	0.00	67	22	40	1	0.02
NtrC	40	10	22	17	0.55	2	1	2	0	0.00
OmpR	34	19	4	0	0.00	20	17	5	2	0.10
OxyR	16	8	9	3	0.19	6	4	5	0	0.00
PaaX	0	0	0	0	0.00	13	2	9	0	0.00
PdhR	2	1	2	0	0.00	41	11	24	19	0.56
PepA	0	0	0	0	0.00	5	3	2	0	0.00
PgrR	0	0	0	0	0.00	1	1	1	0	0.00
PhoB	87	24	18	10	0.24	13	5	5	2	0.22
PhoP	48	17	35	20	0.39	5	3	3	1	0.20
PrpR	5	2	4	4	0.80	0	0	0	0	0.00
PspF	1	1	1	0	0.00	0	0	0	0	0.00
PurR	0	0	0	0	0.00	42	6	27	0	0.00
PutA	0	0	0	0	0.00	4	3	2	0	0.00
PuuR	0	0	0	0	0.00	7	2	6	0	0.00
QseB	0	0	0	0	0.00	0	0	0	0	0.00
RbsR	2	1	1	0	0.00	6	4	5	5	0.62
RcdA	1	1	1	0	0.00	0	0	0	0	0.00
RcnR	0	0	0	0	0.00	2	2	1	0	0.00
RcsAB	2	1	2	2	1.00	1	1	1	0	0.00
RcsB	3	2	3	2	0.50	1	1	1	0	0.00
RcsB-BglJ	7	2	2	2	0.67	0	0	0	0	0.00
RelB	0	0	0	0	0.00	1	1	1	0	0.00
RelB-RelE	0	0	0	0	0.00	1	1	1	0	0.00
RhaR	0	0	0	0	0.00	0	0	0	0	0.00
RhaS	6	4	4	4	0.57	0	0	0	0	0.00
Rob	24	14	19	1	0.03	0	0	0	0	0.00
RstA	3	2	1	0	0.00	16	16	2	0	0.00
RtcR	3	1	2	2	1.00	0	0	0	0	0.00
RutR	3	1	1	1	1.00	14	7	11	6	0.35
SdiA	0	0	0	0	0.00	0	0	0	0	0.00
SgrR	2	2	2	0	0.00	1	1	1	0	0.00
SlyA	0	0	0	0	0.00	0	0	0	0	0.00
SoxR	3	2	2	0	0.00	0	0	0	0	0.00
SoxS	31	18	26	3	0.07	0	0	0	0	0.00
StpA	0	0	0	0	0.00	8	3	3	0	0.00
TdcA	8	4	5	4	0.50	0	0	0	0	0.00
TdcR	8	4	5	4	0.50	0	0	0	0	0.00
TorR	4	2	3	2	0.50	1	1	1	0	0.00
TreR	0	0	0	0	0.00	2	1	2	0	0.00
TrpR	0	0	0	0	0.00	13	3	9	0	0.00
TyrR	4	4	3	1	0.17	13	6	7	7	0.58
UhpA	4	4	1	0	0.00	0	0	0	0	0.00
UidR	0	0	0	0	0.00	2	2	2	0	0.00
UlaR	0	0	0	0	0.00	5	1	5	0	0.00
UxuR	0	0	0	0	0.00	6	4	5	0	0.00
XapR	5	1	2	2	1.00	0	0	0	0	0.00
XylR	4	3	3	2	0.40	0	0	0	0	0.00
YdeO	4	3	3	0	0.00	0	0	0	0	0.00
YefM	0	0	0	0	0.00	1	1	1	0	0.00
YefM-YoeB	0	0	0	0	0.00	1	1	1	0	0.00
YehT	0	0	0	0	0.00	0	0	0	0	0.00
YeiL	0	0	0	0	0.00	0	0	0	0	0.00
YiaJ	0	0	0	0	0.00	7	1	6	0	0.00
YpdB	0	0	0	0	0.00	0	0	0	0	0.00
YqhC	11	9	2	1	0.10	0	0	0	0	0.00
YqjI	0	0	0	0	0.00	2	1	1	0	0.00
ZntR	1	1	1	0	0.00	0	0	0	0	0.00
ZraR	0	0	0	0	0.00	0	0	0	0	0.00
Zur	0	0	0	0	0.00	1	1	1	0	0.00
