# From connectivity_calculator_weffect.pl on Wed Sep 28 12:57:55 2016
# Input =  ~/datasets/connectivity_with_effect/
# [1] > GENSOR Unit
# [2] > Total activated reactions
# [3] > Total components activated
# [4] > Total activated enzymes
# [5] > Total activated enzymes with connectivity
# [6] > Corrected connectivity for activation
# [7] > Total repressed reactions
# [8] > Total components repressed
# [9] > Total repressed enzymes
# [10] > Total repressed enzymes with connectivity
# [11] > Corrected connectivity for repression
AccB	0	0	0	0	0.00	2	1	2	0	0.00
AcrR	0	0	0	0	0.00	3	2	2	0	0.00
Ada	7	4	4	0	0.00	5	2	2	0	0.00
AdiY	4	1	4	3	0.75	0	0	0	0	0.00
AgaR	0	0	0	0	0.00	1	1	1	0	0.00
AidB	0	0	0	0	0.00	1	1	1	0	0.00
AlaS	0	0	0	0	0.00	1	1	1	0	0.00
AllR	0	0	0	0	0.00	6	2	6	0	0.00
AllS	3	1	3	3	1.00	0	0	0	0	0.00
AlsR	0	0	0	0	0.00	4	3	3	0	0.00
AppY	3	2	2	0	0.00	0	0	0	0	0.00
AraC	5	1	5	5	1.00	6	2	5	5	0.83
ArgP	17	9	11	6	0.32	0	0	0	0	0.00
ArgR	6	1	5	5	1.00	25	5	18	12	0.55
ArsR	0	0	0	0	0.00	2	1	2	0	0.00
AscG	0	0	0	0	0.00	5	1	2	0	0.00
AsnC	1	1	1	0	0.00	4	2	2	0	0.00
AtoC	3	1	3	2	0.67	0	0	0	0	0.00
BaeR	2	1	2	0	0.00	0	0	0	0	0.00
BasR	2	2	2	0	0.00	2	2	1	1	0.50
BetI	0	0	0	0	0.00	3	1	3	0	0.00
BirA	0	0	0	0	0.00	6	2	5	0	0.00
BluR	0	0	0	0	0.00	0	0	0	0	0.00
BolA	2	2	2	0	0.00	2	2	2	0	0.00
CadC	3	1	2	2	1.00	0	0	0	0	0.00
CaiF	5	1	5	5	1.00	0	0	0	0	0.00
Cbl	8	2	5	4	0.67	0	0	0	0	0.00
CdaR	17	2	9	7	0.70	0	0	0	0	0.00
ChbR	6	2	3	3	0.75	6	3	3	2	0.40
ComR	0	0	0	0	0.00	0	0	0	0	0.00
CpxR	52	39	22	4	0.07	17	17	3	0	0.00
Cra	29	8	18	12	0.48	92	10	47	39	0.70
CreB	3	1	2	2	1.00	3	3	1	0	0.00
CsgD	5	5	3	0	0.00	5	4	2	0	0.00
CsiR	0	0	0	0	0.00	5	1	4	0	0.00
CspA	1	1	1	0	0.00	0	0	0	0	0.00
