#From get_metadata.pl on Sun Feb  5 09:36:12 2017 using:
# /Users/Daniela/Documents/PhD/Colaboraciones/Misha/pathways/results/
# /Users/Daniela/Documents/PhD/Colaboraciones/Misha/pathways/base_pathways.txt
Group	Total Enzymes	Enzymes with connectivity	Components	Connectivity	Total Catalysis reactions
1CMET2-PWY	14	14	2	0.93	27
2PHENDEG-PWY	2	2	1	1.00	5
ACETOACETATE-DEG-PWY	3	3	1	1.00	2
ALADEG-PWY	3	3	1	1.00	3
ALANINE-SYN2-PWY	2	0	1	0.00	1
ALANINE-VALINESYN-PWY	5	5	2	0.83	7
ALKANEMONOX-PWY	2	2	1	1.00	5
AMMASSIM-PWY	1	0	1	0.00	1
ARABCAT-PWY	3	3	1	1.00	3
ARGSYN-PWY	12	12	1	1.00	13
ARO-PWY	11	11	1	1.00	9
ASPARAGINE-BIOSYNTHESIS	1	1	1	1.00	3
ASPARAGINE-DEG1-PWY	5	0	1	0.00	2
ASPARAGINESYN-PWY	2	2	1	1.00	3
ASPARTATESYN-PWY	1	1	1	1.00	5
AST-PWY	5	5	1	1.00	6
BETSYN-PWY	2	2	1	1.00	2
BGALACT-PWY	1	0	1	0.00	2
BIOTIN-BIOSYNTHESIS-PWY	12	12	2	0.92	71
BSUBPOLYAMSYN-PWY	2	2	1	1.00	3
CARNMET-PWY	4	4	1	1.00	4
COA-PWY	3	3	1	1.00	4
COBALSYN-PWY	5	5	2	0.83	8
COLANSYN-PWY	10	10	1	1.00	12
CYANCAT-PWY	2	2	1	1.00	2
CYSTSYN-PWY	3	3	1	1.00	3
DAPLYSINESYN-PWY	10	10	1	1.00	12
DARABCATK12-PWY	4	4	1	1.00	8
DTDPRHAMSYN-PWY	6	6	1	1.00	5
ECASYN-PWY	10	10	1	1.00	9
ENTBACSYN-PWY	10	10	1	1.00	13
ENTNER-DOUDOROFF-PWY	2	2	1	1.00	4
ETOH-ACETYLCOA-ANA-PWY	3	3	3	0.60	4
FAO-PWY	7	7	1	1.00	12
FASYN-ELONG-PWY	8	8	2	0.89	65
FERMENTATION-PWY	22	22	4	0.88	29
FUCCAT-PWY	4	3	1	0.75	7
GALACTARDEG-PWY	5	5	1	1.00	5
GALACTCAT-PWY	3	3	1	1.00	3
GALACTITOLCAT-PWY	4	4	2	0.80	4
GALACTMETAB-PWY	5	5	1	1.00	5
GALACTUROCAT-PWY	5	5	1	1.00	8
GLNSYN-PWY	1	0	1	0.00	1
GLUAMCAT-PWY	2	2	1	1.00	2
GLUCARDEG-PWY	5	5	1	1.00	6
GLUCONEO-PWY	17	17	2	0.94	14
GLUCONSUPER-PWY	2	0	1	0.00	1
GLUCOSE1PMETAB-PWY	7	7	7	0.54	12
GLUT-REDOX-PWY	1	0	1	0.00	1
GLUTAMINDEG-PWY	6	6	1	1.00	9
GLUTATHIONESYN-PWY	2	2	1	1.00	2
GLUTDEG-PWY	2	2	1	1.00	6
GLUTORN-PWY	7	7	1	1.00	7
GLUTSYN-PWY	0	0	0	-0.00	0
GLUTSYNIII-PWY	1	0	1	0.00	1
GLYCEROLMETAB-PWY	2	2	3	0.50	4
GLYCLEAV-PWY	6	6	1	1.00	13
GLYCOCAT-PWY	7	7	1	1.00	21
GLYCOGENSYNTH-PWY	4	4	1	1.00	6
GLYCOLATEMET-PWY	5	5	1	1.00	4
GLYCOLYSIS	18	18	2	0.95	19
GLYOXDEG-PWY	2	2	1	1.00	2
GLYOXYLATE-BYPASS	6	6	2	0.86	7
GLYSYN-PWY	1	1	3	0.33	5
HCAMHPDEG-PWY	5	5	1	1.00	10
HEME-BIOSYNTHESIS-II	4	4	1	1.00	5
HEMESYN2-PWY	4	4	1	1.00	5
HISTSYN-PWY	7	7	1	1.00	10
HOMOSER-METSYN-PWY	6	6	2	0.86	8
HOMOSER-THRESYN-PWY	2	2	2	0.67	3
HOMOSERSYN-PWY	4	4	1	1.00	3
IDNCAT-PWY	3	3	1	1.00	3
ILEUSYN-PWY	8	8	2	0.89	12
KDO-LIPASYN-PWY	4	4	2	0.80	11
KDOSYN-PWY	1	1	1	1.00	2
KETOGLUCONMET-PWY	7	7	7	0.54	13
LCYSDEG-PWY	5	5	1	1.00	4
LEUSYN-PWY	7	7	3	0.78	12
LIPA-CORESYN-PWY	10	10	1	1.00	13
LYXMET-PWY	5	5	2	0.83	6
MANNCAT-PWY	1	0	1	0.00	1
MANNIDEG-PWY	1	0	1	0.00	1
MENAQUINONESYN-PWY	1	0	1	0.00	2
METSYN-PWY	8	8	2	0.89	11
NAD-BIOSYNTHESIS-II	1	1	1	1.00	2
NADPHOS-DEPHOS-PWY	0	0	0	-0.00	0
NAGLIPASYN-PWY	8	8	2	0.89	14
NONMEVIPP-PWY	8	8	1	1.00	9
NONOXIPENT-PWY	7	7	2	0.88	6
NRI-PWY	3	2	2	0.50	6
OANTIGEN-PWY	12	11	1	0.92	13
OXIDATIVEPENT-PWY	3	3	1	1.00	3
P2-PWY	3	3	1	1.00	3
PANTO-PWY	5	5	3	0.71	6
PANTOSYN-PWY	9	9	3	0.82	11
PENTOSE-P-PWY	10	10	2	0.91	9
PEPTIDOGLYCANSYN-PWY	11	11	1	1.00	10
PHESYN	6	6	1	1.00	12
PLPSAL-PWY	3	2	2	0.50	6
POLYISOPRENSYN-PWY	7	6	3	0.67	8
PPGPPMET-PWY	4	4	6	0.44	14
PROPIONMET-PWY	1	0	1	0.00	1
PROSYN-PWY	3	3	1	1.00	3
PROUT-PWY-I	1	1	1	1.00	2
PUTDEG-PWY	2	2	1	1.00	3
PWY-1269	5	3	2	0.50	4
PWY-1801	3	3	1	1.00	3
PWY-2161	2	2	3	0.50	9
PWY-40	2	2	1	1.00	2
PWY-4121	1	1	1	1.00	2
PWY-4261	3	2	1	0.67	3
PWY-4381	7	7	2	0.88	14
PWY-46	1	0	1	0.00	1
PWY-4621	1	0	1	0.00	1
PWY-5084	6	6	2	0.86	13
PWY-5123	2	2	1	1.00	3
PWY-5155	1	0	1	0.00	1
PWY-5162	3	3	1	1.00	3
PWY-5188	6	6	1	1.00	6
PWY-5194	1	1	1	1.00	4
PWY-5340	2	2	1	1.00	2
PWY-5350	4	4	1	1.00	4
PWY-5386	5	5	1	1.00	4
PWY-5436	3	2	3	0.40	8
PWY-5437	6	6	2	0.86	8
PWY-5453	6	6	12	0.35	15
PWY-5459	2	2	2	0.67	3
PWY-5484	18	18	25	0.43	51
PWY-5659	4	4	1	1.00	4
PWY-5667	4	4	1	1.00	23
PWY-5668	6	6	3	0.75	5
PWY-5669	1	0	1	0.00	1
PWY-5686	6	6	1	1.00	9
PWY-5698	3	3	1	1.00	3
PWY-5705	4	4	1	1.00	4
PWY-5755	1	0	1	0.00	1
PWY-5783	1	0	1	0.00	1
PWY-5785	4	4	3	0.67	4
PWY-5837	7	7	1	1.00	7
PWY-5852	1	0	1	0.00	1
PWY-5901	4	4	1	1.00	10
PWY-5964	1	1	1	1.00	3
PWY-5965	4	4	2	0.80	23
PWY-5966	5	5	2	0.83	25
PWY-5971	6	6	2	0.86	63
PWY-5973	7	7	3	0.78	56
PWY-6012	5	5	1	1.00	11
PWY-6019	2	2	1	1.00	2
PWY-6038	0	0	0	-0.00	0
PWY-6121	5	5	1	1.00	5
PWY-6122	5	5	2	0.83	6
PWY-6123	5	5	1	1.00	7
PWY-6147	4	4	2	0.80	6
PWY-6151	5	5	1	1.00	7
PWY-6153	2	2	1	1.00	4
PWY-6163	7	7	1	1.00	7
PWY-6164	4	4	1	1.00	2
PWY-6268	1	0	1	0.00	2
PWY-6282	7	7	4	0.70	67
PWY-6387	9	9	1	1.00	8
PWY-6476	1	0	1	0.00	1
PWY-6519	9	9	2	0.90	68
PWY-6535	2	2	1	1.00	2
PWY-6537	2	2	1	1.00	3
PWY-6543	3	3	1	1.00	2
PWY-6556	4	4	2	0.80	8
PWY-66	2	2	1	1.00	2
PWY-6605	2	2	2	0.67	6
PWY-6608	8	8	11	0.44	37
PWY-6609	5	4	1	0.80	14
PWY-6611	3	3	1	1.00	11
PWY-6614	4	4	4	0.57	7
PWY-6617	0	0	0	-0.00	0
PWY-6618	1	0	2	0.00	2
PWY-6620	4	4	1	1.00	12
PWY-6690	5	5	1	1.00	10
PWY-6700	4	4	1	1.00	4
PWY-6703	3	3	1	1.00	3
PWY-6708	7	7	1	1.00	9
PWY-6823	8	8	1	1.00	13
PWY-6890	2	2	1	1.00	3
PWY-6892	7	7	1	1.00	15
PWY-6894	2	2	1	1.00	3
PWY-6897	5	5	4	0.62	9
PWY-6910	2	2	4	0.40	5
PWY-6952	4	3	1	0.75	6
PWY-6961	5	5	1	1.00	6
PWY-7176	3	3	5	0.43	13
PWY-7179	2	2	1	1.00	9
PWY-7180	4	3	4	0.43	7
PWY-7181	2	2	2	0.67	4
PWY-7183	1	0	1	0.00	1
PWY-7184	7	7	1	1.00	27
PWY-7187	8	8	1	1.00	28
PWY-7193	2	2	2	0.67	6
PWY-7194	2	2	2	0.67	3
PWY-7195	4	4	1	1.00	8
PWY-7197	3	3	6	0.38	12
PWY-7205	2	2	6	0.29	11
PWY-7206	4	0	1	0.00	13
PWY-7219	3	2	2	0.50	4
PWY-7220	4	4	1	1.00	23
PWY-7221	4	4	6	0.44	15
PWY-7222	4	4	1	1.00	23
PWY-7242	4	3	1	0.75	6
PWY-7247	2	2	2	0.67	3
PWY-7315	6	6	1	1.00	4
PWY-7335	2	2	1	1.00	2
PWY-7343	2	2	1	1.00	4
PWY-7344	1	0	1	0.00	1
PWY-7346	1	0	1	0.00	1
PWY-7446	4	4	3	0.67	6
PWY-7544	2	2	1	1.00	3
PWY-7545	2	2	1	1.00	3
PWY-901	2	2	1	1.00	2
PWY0-1021	2	2	1	1.00	7
PWY0-1182	2	0	2	0.00	2
PWY0-1221	4	4	2	0.80	5
PWY0-1241	4	4	1	1.00	5
PWY0-1261	11	11	3	0.85	16
PWY0-1264	4	3	1	0.75	4
PWY0-1275	2	2	1	1.00	8
PWY0-1277	9	8	3	0.73	16
PWY0-1280	2	2	2	0.67	4
PWY0-1295	3	3	2	0.75	5
PWY0-1296	4	3	1	0.75	13
PWY0-1299	1	0	1	0.00	1
PWY0-1300	3	3	1	1.00	2
PWY0-1301	1	0	1	0.00	1
PWY0-1303	4	4	1	1.00	3
PWY0-1305	2	0	1	0.00	1
PWY0-1306	1	0	1	0.00	1
PWY0-1309	2	2	2	0.67	4
PWY0-1312	3	3	1	1.00	4
PWY0-1313	1	0	1	0.00	2
PWY0-1314	1	0	1	0.00	1
PWY0-1315	1	0	2	0.00	2
PWY0-1317	2	2	2	0.67	3
PWY0-1319	6	6	1	1.00	31
PWY0-1321	3	0	3	0.00	4
PWY0-1324	3	3	1	1.00	4
PWY0-1329	1	0	1	0.00	1
PWY0-1334	2	0	3	0.00	3
PWY0-1335	2	0	3	0.00	3
PWY0-1336	2	2	2	0.67	3
PWY0-1337	2	2	2	0.67	9
PWY0-1338	4	4	1	1.00	5
PWY0-1347	2	2	2	0.67	3
PWY0-1348	2	2	2	0.67	3
PWY0-1352	3	0	4	0.00	5
PWY0-1353	1	0	1	0.00	1
PWY0-1355	2	2	1	1.00	2
PWY0-1356	2	2	1	1.00	2
PWY0-1391	1	0	1	0.00	3
PWY0-1433	3	3	2	0.75	4
PWY0-1458	0	0	0	-0.00	0
PWY0-1465	1	0	3	0.00	3
PWY0-1466	1	0	1	0.00	1
PWY0-1468	0	0	0	-0.00	0
PWY0-1470	0	0	0	-0.00	0
PWY0-1471	6	6	3	0.75	10
PWY0-1474	0	0	0	-0.00	0
PWY0-1477	1	0	1	0.00	1
PWY0-1479	11	11	2	0.92	20
PWY0-1481	0	0	0	-0.00	0
PWY0-1482	0	0	0	-0.00	0
PWY0-1483	0	0	0	-0.00	0
PWY0-1485	0	0	0	-0.00	0
PWY0-1487	0	0	0	-0.00	0
PWY0-1490	0	0	0	-0.00	0
PWY0-1492	0	0	0	-0.00	0
PWY0-1493	0	0	0	-0.00	0
PWY0-1495	0	0	0	-0.00	0
PWY0-1497	0	0	0	-0.00	0
PWY0-1498	0	0	0	-0.00	0
PWY0-1499	0	0	0	-0.00	0
PWY0-1500	0	0	0	-0.00	0
PWY0-1501	0	0	0	-0.00	0
PWY0-1503	0	0	0	-0.00	0
PWY0-1505	0	0	0	-0.00	0
PWY0-1506	0	0	0	-0.00	0
PWY0-1507	3	3	1	1.00	3
PWY0-1509	0	0	0	-0.00	0
PWY0-1512	0	0	0	-0.00	0
PWY0-1514	0	0	0	-0.00	0
PWY0-1515	0	0	0	-0.00	0
PWY0-1517	2	2	1	1.00	4
PWY0-1518	1	0	1	0.00	10
PWY0-1519	0	0	0	-0.00	0
PWY0-1527	1	1	1	1.00	2
PWY0-1533	4	4	1	1.00	4
PWY0-1534	2	2	1	1.00	8
PWY0-1535	1	0	1	0.00	1
PWY0-1544	2	2	1	1.00	3
PWY0-1545	5	5	3	0.71	5
PWY0-1546	5	5	5	0.56	8
PWY0-1550	0	0	0	-0.00	0
PWY0-1554	2	2	1	1.00	2
PWY0-1559	0	0	0	-0.00	0
PWY0-1561	2	2	1	1.00	2
PWY0-1565	2	2	1	1.00	2
PWY0-1567	2	2	3	0.50	4
PWY0-1568	2	2	3	0.50	4
PWY0-1569	3	3	1	1.00	4
PWY0-1573	2	2	3	0.50	6
PWY0-1576	2	2	1	1.00	2
PWY0-1577	2	2	1	1.00	2
PWY0-1578	2	2	1	1.00	2
PWY0-1581	3	3	2	0.75	4
PWY0-1582	2	2	1	1.00	2
PWY0-1584	2	2	1	1.00	3
PWY0-1585	2	2	1	1.00	3
PWY0-1586	16	14	2	0.82	10
PWY0-1587	3	2	2	0.50	3
PWY0-163	7	7	5	0.64	21
PWY0-181	3	3	2	0.75	6
PWY0-301	4	4	1	1.00	4
PWY0-321	7	7	2	0.88	10
PWY0-381	5	4	1	0.80	7
PWY0-41	5	5	1	1.00	5
PWY0-42	6	6	1	1.00	9
PWY0-43	3	3	1	1.00	3
PWY0-44	3	3	2	0.75	4
PWY0-461	3	0	1	0.00	1
PWY0-501	4	4	2	0.80	13
PWY0-521	3	2	1	0.67	3
PWY0-522	1	1	1	1.00	7
PWY0-541	1	0	1	0.00	1
PWY0-661	2	0	3	0.00	3
PWY0-662	1	0	1	0.00	1
PWY0-823	3	3	1	1.00	2
PWY0-862	7	7	2	0.88	64
PWY0-901	3	3	1	1.00	4
PWY0-981	1	0	1	0.00	1
PWY3O-4106	1	1	1	1.00	2
PYRIDNUCSAL-PWY	5	5	1	1.00	7
PYRIDNUCSYN-PWY	5	5	1	1.00	7
PYRIDOXSYN-PWY	7	7	1	1.00	10
PYRUVDEHYD-PWY	6	6	2	0.86	15
RHAMCAT-PWY	4	4	2	0.80	5
RIBOKIN-PWY	2	2	1	1.00	2
RIBOSYN2-PWY	8	8	1	1.00	10
SALVADEHYPOX-PWY	9	9	27	0.26	63
SALVPURINE2-PWY	2	2	1	1.00	7
SAM-PWY	1	0	1	0.00	1
SERDEG-PWY	4	0	2	0.00	2
SERSYN-PWY	3	3	1	1.00	7
SO4ASSIM-PWY	5	4	2	0.67	5
SORBDEG-PWY	1	0	1	0.00	1
TCA	16	16	3	0.89	26
THIOREDOX-PWY	1	0	1	0.00	1
THRDLCTCAT-PWY	3	3	1	1.00	5
THREONINE-DEG2-PWY	3	3	1	1.00	2
TREDEGLOW-PWY	2	2	1	1.00	2
TRESYN-PWY	2	2	1	1.00	2
TRNA-CHARGING-PWY	21	0	1	0.00	22
TRPSYN-PWY	6	6	1	1.00	7
TRYPDEG-PWY	1	0	1	0.00	2
TYRSYN	4	4	1	1.00	10
UDPNAGSYN-PWY	4	4	1	1.00	7
VALSYN-PWY	7	7	2	0.88	11
XYLCAT-PWY	2	2	2	0.67	3
